Valiutos pavadinimas,Valiutos kodas,Santykis,Pokytis vnt.,Pokytis %,Data
Australijos doleris,AUD,"1,6667","-0,00420","-0,2514 %",2024-03-07
Bulgarijos levas,BGN,"1,9558","0,0000","0,0000 %",2024-03-07
Brazilijos realas,BRL,"5,375","0,00370","0,0689 %",2024-03-07
Kanados doleris,CAD,"1,477","0,00230","0,1560 %",2024-03-07
Šveicarijos frankas,CHF,"0,9619","0,00100","0,1041 %",2024-03-07
Kinijos ženminbi juanis,CNY,"7,8281","0,01770","0,2266 %",2024-03-07
Čekijos krona,CZK,"25,359","0,00600","0,0237 %",2024-03-07
Danijos krona,DKK,"7,4544","0,00020","0,0027 %",2024-03-07
Didžiosios Britanijos svaras sterlingų,GBP,"0,85498","-0,00045","-0,0526 %",2024-03-07
Honkongo doleris,HKD,"8,5088","0,02150","0,2533 %",2024-03-07
Vengrijos forintas,HUF,"392,95","-2,80000","-0,7075 %",2024-03-07
Indonezijos rupija,IDR,"17 069,52","-10,17000","-0,0595 %",2024-03-07
Izraelio naujasis šekelis,ILS,"3,9212","0,01780","0,4560 %",2024-03-07
Indijos rupija,INR,"90,056","0,10350","0,1151 %",2024-03-07
Islandijos krona,ISK,"148,9","-0,20000","-0,1341 %",2024-03-07
Japonijos jena,JPY,"162,67","-0,34000","-0,2086 %",2024-03-07
Pietų Korėjos vonas,KRW,"1 450,41","2,43000","0,1678 %",2024-03-07
Meksikos pesas,MXN,"18,3532","-0,03920","-0,2131 %",2024-03-07
Malaizijos ringitas,MYR,"5,1456","0,00860","0,1674 %",2024-03-07
Norvegijos krona,NOK,"11,468","-0,00700","-0,0610 %",2024-03-07
Naujosios Zelandijos doleris,NZD,"1,7812","-0,00350","-0,1961 %",2024-03-07
Filipinų pesas,PHP,"60,731","0,00400","0,0066 %",2024-03-07
Lenkijos zlotas,PLN,"4,3018","-0,02300","-0,5318 %",2024-03-07
Rumunijos lėja,RON,"4,9706","-0,00120","-0,0241 %",2024-03-07
Švedijos krona,SEK,"11,2555","-0,02480","-0,2199 %",2024-03-07
Singapūro doleris,SGD,"1,4578","0,0000","0,0000 %",2024-03-07
Tailando batas,THB,"38,82","-0,04100","-0,1055 %",2024-03-07
Turkijos lira,TRY,"34,5173","0,16990","0,4947 %",2024-03-07
JAV doleris,USD,"1,0874","0,00250","0,2304 %",2024-03-07
Pietų Afrikos Respublikos randas,ZAR,"20,5388","-0,04740","-0,2303 %",2024-03-07
Australijos doleris,AUD,"1,6667","-0,00420","-0,2514 %",2024-03-06
